Region,System,Type,Price,On demand,Offering class
ap-northeast-1,Linux/UNIX,g3s.xlarge,0.998,1.04,convertible
us-east-2,Linux/UNIX,h1.4xlarge,0.636,0.936,standard
us-east-2,Linux/UNIX,m5n.xlarge,0.174,0.238,convertible
us-east-2,Linux/UNIX,m5n.xlarge,0.15,0.238,standard
us-east-2,Linux/UNIX,m5dn.large,0.08600000000000001,0.136,standard
us-east-2,Linux/UNIX,m5dn.large,0.099,0.136,convertible
us-east-2,Linux/UNIX,t3a.small,0.013600000000000001,0.0188,convertible
us-east-2,Linux/UNIX,t3a.small,0.011800000000000001,0.0188,standard
us-east-2,Linux/UNIX,a1.metal,0.296,0.408,convertible
us-east-2,Linux/UNIX,h1.4xlarge,0.732,0.936,convertible
us-east-2,Linux/UNIX,a1.metal,0.257,0.408,standard
us-east-2,Linux/UNIX,m5n.8xlarge,1.389,1.904,convertible
us-east-2,Linux/UNIX,r5d.xlarge,0.209,0.288,convertible
us-east-2,Linux/UNIX,r5d.xlarge,0.181,0.288,standard
us-east-2,Linux/UNIX,r6g.12xlarge,1.7437999999999998,2.4192,convertible
us-east-2,Linux/UNIX,r6g.12xlarge,1.5241000000000002,2.4192,standard
us-east-2,Linux/UNIX,r5n.xlarge,0.188,0.298,standard
us-east-2,Linux/UNIX,r5n.xlarge,0.216,0.298,convertible
us-east-2,Linux/UNIX,m5a.large,0.054,0.086,standard
us-east-2,Linux/UNIX,m5n.8xlarge,1.2,1.904,standard
us-east-2,Linux/UNIX,i3en.6xlarge,2.139,2.712,convertible
us-east-2,Linux/UNIX,i3en.6xlarge,1.847,2.712,standard
us-east-2,Linux/UNIX,m5a.2xlarge,0.252,0.344,convertible
us-east-2,Linux/UNIX,x1.16xlarge,4.726,6.669,convertible
us-east-2,Linux/UNIX,x1.16xlarge,4.11,6.669,standard
us-east-2,Linux/UNIX,r5a.12xlarge,1.709,2.712,standard
us-east-2,Linux/UNIX,r5a.12xlarge,1.9709999999999999,2.712,convertible
us-east-2,Linux/UNIX,i3.metal,3.9409999999999994,4.992,convertible
us-east-2,Linux/UNIX,i3.metal,3.427,4.992,standard
